farm_region,plant_id,DestinationName,plant_lat,plant_long
EAST,1379,MILL ROAD DAIRY KOSHER,40.62509140516,-74.75857588448
EAST,1380,MILL ROAD DAIRY,40.624984,-74.759065
EAST,1385,TOSCANA CHEESE,40.78569711218,-74.05241748866
EAST,1387,LANCO-PASTURE ACCESS MILK,39.71669078217,-78.18547873102
EAST,1390,DANONE-LANCO,38.36783135882,-78.9380162604
EAST,1391,VALEWOOD-NATURALLY GOLDEN FARM,40.48022890005,-78.64155798681
EAST,1392,LEBANON CHEESE-OV,40.63653737074,-74.83598833099
EAST,1400,CLOVERLAND/GREEN SPRINGS-LANCO,39.32017949491,-76.603354168
EAST,1402,SUNNY SKY-LANCO,40.25075818083,-75.69080083285
EAST,1405,LACTALIS HERITAGE DAIRY-EAST,42.16946713396,-75.13835604611
EAST,1408,MOUNTAINTOP BEVERAGE-MDVA,39.59928,-79.983433
EAST,1409,BELGIOIOSO CHEESE-UPSTATE,42.22885819129,-77.18743336031
EAST,1410,MAOLA PHILADELPHIA-MDVA,40.09071492841,-74.98723801807
EAST,1414,SUNNY SKY-MDVA,40.25075818083,-75.69080083285
EAST,1415,CANASTOTA-DFA,43.07319454927,-75.75459257325
EAST,1425,JOHANNA FOODS-MDVA,40.48990509114,-74.86898125682
EAST,1433,VERMONT FARMSTEAD CHEESE,43.5735557,-72.540854
EAST,1436,TROPICAL CHEESE,40.51456568347,-74.2813270216
EAST,1438,SAPUTO DAIRY FRASER-OV,42.24590076334,-74.96289824602
EAST,1440,GREAT LAKES FRANKLINVILLE-DFA,42.35459768429,-78.44374646031
EAST,1442,MDVA LAUREL-DFA,39.14211729057,-76.86977515987
EAST,1446,CLOVER FARMS DAIRY-DIRECT SALE,40.38190788408,-75.93520772884
EAST,1447,LANCO KOSHER-MILL ROAD DAIRY,39.71672379322,-78.18547873102
EAST,1448,KEILY CATTLE,39.63244848834,-77.62663805767
EAST,1449,WESTMEADOW CREAMERY-BEST VALUE,43.01744096494,-74.36225598281
